"sid","instance","key","apical_class","zone","zone_um","surf","abs","mtic","citdha","dha_sn","dha_abs"
"AO_0h_sl6A_sec3b",2,"AO_0h_sl6A_sec3b 2","basolateral_out",5,160,1.45765122672503,1.07231610539596e-05,7.59935403608475e-06,1.31140083264911e-06,0.05186258537552,0.381918643992723
"AO_0h_sl6A_sec3b",2,"AO_0h_sl6A_sec3b 2","basolateral_out",6,250,1.39665391836501,1.02744364555026e-05,7.48443854430289e-06,1.2565235619371e-06,0.0426064531668605,0.3137560285706
"AO_0h_sl6A_sec3b",2,"AO_0h_sl6A_sec3b 2","basolateral_out",7,500,0.578599827870096,4.2564497091558e-06,2.92813333896624e-06,5.20547221535466e-07,0.03076707676163,0.226570275109505
"AO_0h_sl6A_sec4a",1,"AO_0h_sl6A_sec4a 1","basolateral_out",1,10,0.89747935868558,1.06894104583811e-05,2.65637259863827e-06,8.27056057773992e-07,0.256951007614869,2.60137784770498
"AO_0h_sl6A_sec4a",1,"AO_0h_sl6A_sec4a 1","basolateral_out",2,20,0.868734575252532,1.03470462739801e-05,4.70655771408283e-06,8.00566816503282e-07,0.127266492973918,1.28844887066437
"AO_0h_sl6A_sec4a",1,"AO_0h_sl6A_sec4a 1","basolateral_out",3,50,0.635862014797321,7.57342216874649e-06,4.57448473824759e-06,5.85967271733923e-07,0.0499431510066796,0.505625597188134
"AO_0h_sl6A_sec4a",1,"AO_0h_sl6A_sec4a 1","basolateral_out",4,80,0.887856739382254,1.05748004381923e-05,7.73383018384515e-06,8.18188504989129e-07,0.0408109495716775,0.41317098206788
"AO_0h_sl6A_sec4a",1,"AO_0h_sl6A_sec4a 1","basolateral_out",5,160,0.86459778931631,1.02977751654885e-05,8.55508801374161e-06,7.96754635381616e-07,0.0280103153632861,0.283577070079044
"AO_0h_sl6A_sec4a",1,"AO_0h_sl6A_sec4a 1","basolateral_out",6,250,1.03376542317884,1.23126429806972e-05,1.16365259086003e-05,9.52648043972326e-07,0.0144070468734861,0.145857270362248
"AO_0h_sl6A_sec4a",1,"AO_0h_sl6A_sec4a 1","basolateral_out",7,500,0,0,0,0,0,0
"AO_0h_sl6A_sec4a",2,"AO_0h_sl6A_sec4a 2","mixed",1,10,2.85177817814337,2.07215562369476e-05,5.04223317598e-06,1.37699151938543e-06,0.272412506182207,3.18811856744736
"AO_0h_sl6A_sec4a",2,"AO_0h_sl6A_sec4a 2","mixed",2,20,0.702879522752718,5.10725471922982e-06,1.90656365458449e-06,3.39387947280769e-07,0.172693835898271,2.02108351201295
"AO_0h_sl6A_sec4a",2,"AO_0h_sl6A_sec4a 2","mixed",3,50,0.715382340673774,5.19810254416133e-06,2.49331169211306e-06,3.45424978624112e-07,0.112288265647722,1.31414049096013
"AO_0h_sl6A_sec4a",2,"AO_0h_sl6A_sec4a 2","mixed",4,80,0.874630596571133,6.35523030238034e-06,3.48034820310164e-06,4.22318581193981e-07,0.0723168605053767,0.846344130626962
